ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
79,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
79,5,,,,,5,80,,30,20,1,14,,,,,,,,,,,,,,,,,,,5,,,95000,
77,5,,,,,1,50,2,,,2,12,,,,,,,,,,,,,,,,0,,,5,,,9999999,
75,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,50000,
77,5,,,,,5,30,,0,50,1,12,,,,,,,,,,,,,,,,,,,5,,,50000,
79,5,,,,,5,15,,998,,2,12,,,,,,,,,,,,,,,,,,,1,999999998,,560000,70000
79,5,,,,,5,998,,,,2,15,,,,,,,,,,,,,,,,,,,5,,,800,
94,5,,,,,5,50,2,,,2,14,,,,,,,,,,,,,,,,,,,5,,,5000,
73,4,,,,,5,50,2,,,2,12,0,0,0,0,0,0,1,5,10,10,5,5,99,5,5,,,,5,,,899,
83,3,,,,,5,10,,0,0,2,12,,,,,,,,,,,,,,,,,750,,5,,12000,,
80,5,,,,,5,50,8,,,1,17,,,,,,,,,,,,,,,,,,,5,,,2000,
83,5,,,,,5,50,8,,,2,12,,,,,,,,,,,,,,,,,,,5,,,2000,
88,5,,,,,5,50,2,,,1,10,,,,,,,,,,,,,,,,,,,1,250000,30000,20000,
80,5,,,,,5,,,,,2,17,,,,,,,,,,,,,,,,,,,5,,,120000,
78,5,,,,,5,80,,20,20,1,17,,,,,,,,,,,,,,,,,,,5,,,120000,
81,5,,,,,5,40,,40,40,2,15,,,,,,,,,,,,,,,,,,,5,,,,
81,5,,,,,5,70,,70,50,1,16,,,,,,,,,,,,,,,,,1000000,1000000,5,,,10000,
81,5,,,,,5,50,2,,,2,16,,,,,,,,,,,,,,,,,,20000000,5,,,7000,
81,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,5,,,9999998,
81,5,,,,,5,50,2,,,1,16,,,,,,,,,,,,,,,,,,,1,999999999,,9999999,
75,5,,,,,5,70,,40,10,2,13,,,,,,,,,,,,,,,,,,,1,999999999,,9999999,
79,5,,,,,5,100,,100,,1,16,,,,,,,,,,,,,,,,,,,1,9000,,190000,
78,5,,,,,5,50,2,,,2,16,,,,,,,,,,,,,,,,,,,1,9000,,190000,
80,5,,,,,5,40,,40,60,2,17,,,,,,,,,,,,,,,,,,,8,,9999998,40000,
74,5,,,,,5,50,2,,,2,14,,,,,,,,,,,,,,,,,,,8,,9999998,40000,
71,5,,,,,5,20,,50,40,2,17,,,,,,,,,,,,,,,,,,,1,400000,,40000,20000
75,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,1,400000,,40000,20000
80,5,,,,,5,40,,50,20,2,17,,,,,,,,,,,,,,,,,,,1,2500000,,40000,
82,1,,,,,1,50,2,,,1,17,0,0,80,50,999,50,1,5,9,9,4,5,5,6,99,,,,1,2500000,,40000,
85,6,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,99999998,5,,9999998,9999999,999999999
79,5,,,,,5,,,,,1,11,,,,,,,,,,,,,,,,,,,8,,,,
77,4,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,8,,,,
75,5,,,,,5,50,1,50,50,2,17,,,,,,,,,,,,,,,,,,,5,,,500000,
80,5,,,,,5,50,2,,,1,12,15,15,15,10,50,15,1,8,9,9,8,98,98,8,3,,,,5,,,500000,
86,5,,,,,5,-8,,0,0,1,16,-8,-8,-8,-8,-8,-8,-8,5,-8,-8,-8,-8,-8,-8,-8,,,,5,,,,
85,6,,,,,5,50,1,50,50,2,16,0,0,0,0,0,0,-8,8,8,6,5,6,6,6,2,,,,5,,,,
82,5,,,,,5,60,,75,15,1,10,,,,,,,,,,,,,,,,,,,1,999999998,,9999998,
83,5,,,,,5,60,,60,70,2,12,,,,,,,,,,,,,,,,,,,1,999999998,,9999998,
78,5,,,,,5,100,,70,,1,17,,,,,,,,,,,,,,,,,,,5,,,2000,
74,5,6,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,2000,
83,5,,,,,5,80,,75,50,1,12,,,,,,,,,,,,,,,,,,,5,,,9999998,6000
80,5,,,,,5,70,,10,10,1,17,,,,,,,,,,,,,,,,,,,1,150000,,30000,
78,5,,,,,5,998,,,,2,17,,,,,,,,,,,,,,,,,,,1,150000,,30000,
82,5,,,,,5,70,,70,10,1,12,,,,,,,,,,,,,,,,,,,1,50000,,10000,
85,5,,,,,5,25,,15,10,1,12,0,0,0,10,10,0,-8,8,9,9,9,8,9,8,5,,,,5,,,15000,
84,5,6,,,,5,65,,35,35,2,12,,,,,,,,,,,,,,,,,,,5,,,15000,
78,5,1,,,,1,100,,50,,1,14,,,,,,,,,,,,,,,,,150000,,5,,,,
75,5,,,,,5,100,,998,,2,12,,,,,,,,,,,,,,,,,150000,,5,,,,
91,5,6,,,,5,60,,80,0,1,17,,,,,,,,,,,,,,,,,,,5,,,5000,
78,5,,,,,5,100,,50,,1,12,,,,,,,,,,,,,,,,,,,1,999999999,,9999999,
78,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,5,,,55000,5000
85,5,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,
80,5,,,,,5,10,,50,50,2,10,,,,,,,,,,,,,,,,,,,5,,,,
82,1,,,,,1,50,2,,,1,17,,,,,,,,,,,,,,,,,,0,1,999999999,,1000,
79,5,,,,,5,25,,25,25,1,12,,,,,,,,,,,,,,,,,,,5,,,100000,
78,5,,,,,5,20,,25,40,2,16,,,,,,,,,,,,,,,,,,,5,,,100000,
70,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,
80,5,,,,,5,20,,10,80,1,14,40,40,70,70,70,70,1,5,5,5,3,3,3,5,7,,,,1,400000,,10000,
76,5,,,,,5,50,1,50,50,2,16,,,,,,,,,,,,,,,,,,,1,400000,,10000,
81,5,,,,,1,50,2,,,1,13,,,,,,,,,,,,,,,,,,,1,22000,,30000,
68,1,,,,,1,40,,15,60,2,14,,,,,,,,,,,,,,,,,,,1,22000,,30000,
88,5,,,,,5,998,,,,2,11,,,,,,,,,,,,,,,,,,,5,,,0,
80,5,,,,,5,80,,80,80,2,12,,,,,,,,,,,,,,,,,,,5,,,,
82,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,5,,,5000,
75,5,,,,,5,20,,30,20,2,17,,,,,,,,,,,,,,,,,,,1,999999998,,500000,
79,5,,,,,5,,,,,1,16,,,,,,,,,,,,,,,,,75000,,5,,,200000,
79,5,,,,,5,40,,10,80,2,14,,,,,,,,,,,,,,,,,,,5,,,70000,22000
81,5,,,,,5,75,,70,95,2,17,,,,,,,,,,,,,,,,,,,5,,,9999998,
79,5,,,,,5,20,,-8,,2,12,,,,,,,,,,,,,,,,,,,5,,,1500,
83,5,,,,,5,998,,,,1,,998,998,100,75,75,75,1,8,10,10,8,8,8,8,5,,,,9,,,,
89,5,,,,,5,0,,,0,1,11,,,,,,,,,,,,,,,,,,,5,,,9999998,
60,6,,,,,5,50,1,65,35,2,12,,,,,,,,,,,,,,,,,,,5,,,25000,3500
82,5,,,,,5,100,,80,,1,12,,,,,,,,,,,,,,,,,,,1,999999998,,20000,35000
81,5,,,,,5,5,,1,90,2,12,95,95,50,998,50,90,1,4,1,1,1,2,1,1,0,,,,1,999999998,,20000,35000
81,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,5,,,,
69,5,,,,,5,50,2,,,2,8,,,,,,,,,,,,,,,,,,,5,,,,
79,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,5,,,40000,
56,1,,,,,1,100,,0,,2,,,,,,,,,,,,,,,,,,,,5,,,40000,
69,5,,,,,5,70,,50,40,2,12,100,100,75,50,50,50,1,5,5,5,6,5,5,5,4,,,,5,,,4000,
46,3,,,,,1,40,,30,30,1,12,,,,,,,,,,,,,,,,,,,5,,,4000,
88,5,,,,,5,40,,40,40,2,12,,,,,,,,,,,,,,,,,,,5,,,50000,
80,5,,,,,5,25,,10,25,2,12,,,,,,,,,,,,,,,,,,,5,,,1200,
77,5,,,,,5,60,,998,,2,12,,,,,,,,,,,,,,,,,,,5,,,7000,
74,5,,,,,5,65,,15,10,2,16,,,,,,,,,,,,,,,,,,,1,999999998,,10000,
77,5,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,1,999999998,,10000,
79,5,,,,,5,75,,5,10,1,11,,,,,,,,,,,,,,,,,,,1,-8,,,
62,1,,,,,1,50,1,50,50,2,13,,,,,,,,,,,,,,,,,,,1,-8,,,
85,5,,,,,5,30,,25,10,2,12,,,,,,,,,,,,,,,,,500000,,5,,,50000,
87,5,,,,,5,30,,20,40,1,8,,,,,,,,,,,,,,,,,500000,,5,,,50000,
78,5,,,,,5,60,,20,10,1,16,,,,,,,,,,,,,,,,,,,1,-8,,-8,
67,5,,,,,5,60,,40,40,2,16,,,,,,,,,,,,,,,,,,,1,-8,,-8,
89,5,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,,
69,5,,,,,5,0,,,100,2,8,,,,,,,,,,,,,,,,,,,5,,,6000,
87,4,,,,,5,3,,5,7,2,9,,,,,,,,,,,,,,,,,,,5,,,,
78,5,,,,,5,75,,50,10,1,17,,,,,,,,,,,,,,,,,,,1,350000,,80000,
78,5,,,,,5,50,1,20,20,2,17,,,,,,,,,,,,,,,,,,,1,350000,,80000,
84,5,,,,,5,75,,25,10,1,16,,,,,,,,,,,,,,,,,,,1,999999998,20000,,
