hhidpn,hhid,pn,ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
11798010,011798,010,83,5,,,,,5,,,,,2,9,,,,,,,,,,,,,,,,,,,5,,,,
11802010,011802,010,85,5,,,,,5,0,,,50,1,14,,,,,,,,,,,,,,,,,,,5,,,20000,
11802011,011802,011,63,5,,,,,5,50,2,,,2,14,50,50,20,0,100,0,1,10,9,9,8,0,0,7,7,,,,5,,,20000,
11881010,011881,010,84,5,,,,,5,100,,20,,1,17,,,,,,,,,,,,,,,,,,,1,999999998,,,
11911040,011911,040,73,7,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,73000,999999998
11932020,011932,020,85,5,,,,,5,5,,3,5,2,13,,,,,,,,,,,,,,,,,,,5,,,2000,
11933010,011933,010,80,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
11983040,011983,040,76,5,,,,,5,50,1,2,20,1,17,,,,,,,,,,,,,,,,,200000,,5,,,12000,
11999010,011999,010,82,5,,,,,5,100,,100,,1,12,,,,,,,,,,,,,,,,,,,1,70000,,25000,
11999020,011999,020,82,5,,,,,5,,,,,2,11,,,,,,,,,,,,,,,,,,,1,70000,,25000,
12005010,012005,010,86,1,5,,,,1,10,,10,5,2,17,,,,,,,,,,,,,,,,,,,5,,,3000,
12009010,012009,010,80,5,6,,,,5,20,,25,20,2,17,10,5,0,30,30,5,1,7,8,8,8,2,4,5,3,,999999998,,5,,,9999998,
12033011,012033,011,79,5,,,,,5,40,,30,50,2,10,,,,,,,,,,,,,,,,,,,5,,,,
12094011,012094,011,77,5,,,,,5,,,,,2,11,,,,,,,,,,,,,,,,,,,5,,,,
12112030,012112,030,72,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,21000,
